interp_r,interp_d,interp_mp1,interp_mp2,interp_sub
1320,3.552861,10.37011,17.24449,7.573476112
1330,3.554486,10.37066,17.24482,7.572444543
1340,3.556119,10.37123,17.24515,7.571406115
1350,3.557765,10.37179,17.24549,7.570360829
1360,3.559421,10.37236,17.24583,7.569308684
1370,3.561089,10.37293,17.24618,7.56824968
1380,3.562769,10.37351,17.24652,7.567183818
1390,3.564466,10.37409,17.24687,7.566111097
1400,3.566167,10.37467,17.24722,7.565031517
1410,3.56788,10.37526,17.24757,7.563945078
1420,3.569605,10.37586,17.24793,7.562851781
1430,3.571342,10.37645,17.24829,7.561751625
1440,3.57309,10.37706,17.24865,7.56064461
1450,3.574848,10.37766,17.24902,7.559530737
1460,3.576619,10.37827,17.24939,7.558410004
1470,3.578404,10.37889,17.24976,7.557282414
1480,3.580197,10.37951,17.25013,7.556147964
1490,3.582002,10.38013,17.25051,7.555006656
1500,3.583818,10.38076,17.25089,7.553858489
1510,3.585645,10.38139,17.25127,7.552703463
1520,3.58748,10.38203,17.25165,7.551541578
1530,3.58933,10.38268,17.25203,7.550372835
1540,3.59119,10.38332,17.25242,7.549197233
1550,3.593062,10.38397,17.25281,7.548014773
1560,3.594948,10.38461,17.2532,7.546825453
1570,3.596843,10.38527,17.25359,7.545629275
1580,3.598744,10.38593,17.25399,7.544426238
1590,3.600661,10.38659,17.25439,7.543216343
1600,3.602589,10.38726,17.25479,7.541999589
1610,3.604527,10.38793,17.25519,7.540775976
1620,3.606475,10.38861,17.2556,7.539545504
1630,3.608436,10.38929,17.25601,7.538308174
1640,3.610411,10.38997,17.25642,7.537063985
1650,3.612389,10.39066,17.25684,7.535812937
1660,3.614384,10.39135,17.25726,7.53455503
1670,3.616391,10.39205,17.25768,7.533290265
1680,3.618402,10.39275,17.2581,7.532018641
1690,3.620431,10.39345,17.25853,7.530740158
1700,3.622465,10.39416,17.25896,7.529454817
1710,3.624515,10.39488,17.25939,7.528162617
1720,3.626577,10.39559,17.25982,7.526863558
1730,3.628642,10.39632,17.26025,7.525557641
1740,3.630726,10.39704,17.26069,7.524244864
1750,3.632813,10.39777,17.26113,7.522925229
1760,3.634913,10.39851,17.26157,7.521598736
1770,3.637028,10.39925,17.26201,7.520265383
1780,3.63915,10.39999,17.26246,7.518925172
1790,3.641287,10.40073,17.26291,7.517578102
1800,3.643429,10.40149,17.26336,7.516224174
1810,3.645583,10.40224,17.26382,7.514863386
1820,3.647752,10.403,17.26427,7.51349574
1830,3.649927,10.40376,17.26473,7.512121236
1840,3.652113,10.40453,17.2652,7.510739872
1850,3.654314,10.4053,17.26566,7.50935165
1860,3.656521,10.40608,17.26613,7.507956569
1870,3.658739,10.40686,17.2666,7.50655463
1880,3.660967,10.40765,17.26707,7.505145831
1890,3.663211,10.40844,17.26754,7.503730174
1900,3.665461,10.40923,17.26802,7.502307659
1910,3.667721,10.41003,17.2685,7.500878284
1920,3.669992,10.41083,17.26899,7.499442051
1930,3.672273,10.41163,17.26947,7.497998959
1940,3.674565,10.41244,17.26996,7.496549009
1950,3.676873,10.41325,17.27045,7.495092199
1960,3.679185,10.41407,17.27095,7.493628531
1970,3.681509,10.41489,17.27144,7.492158005
1980,3.683842,10.41572,17.27194,7.490680619
1990,3.686186,10.41654,17.27244,7.489196375
2000,3.688541,10.41738,17.27294,7.487705272
2010,3.690906,10.41821,17.27345,7.48620731
2020,3.693281,10.41906,17.27395,7.48470249
2030,3.695667,10.4199,17.27446,7.483190811
2040,3.698057,10.42075,17.27497,7.481672273
2050,3.700464,10.42161,17.27549,7.480146877
2060,3.70288,10.42246,17.276,7.478614622
2070,3.705307,10.42332,17.27653,7.477075508
2080,3.707744,10.42419,17.27705,7.475529535
2090,3.710192,10.42506,17.27757,7.473976704
2100,3.712644,10.42594,17.2781,7.472417014
2110,3.715112,10.42681,17.27863,7.470850465
2120,3.71759,10.4277,17.27916,7.469277057
2130,3.720078,10.42858,17.2797,7.467696791
2140,3.722571,10.42947,17.28024,7.466109666
2150,3.725077,10.43037,17.28078,7.464515683
2160,3.727594,10.43127,17.28132,7.46291484
2170,3.73012,10.43217,17.28186,7.461307139
2180,3.732657,10.43308,17.28241,7.459692579
2190,3.735204,10.43399,17.28296,7.458071161
2200,3.73776,10.4349,17.28351,7.456442884
2210,3.740327,10.43582,17.28407,7.454807748
2220,3.742903,10.43675,17.28463,7.453165753
2230,3.745489,10.43768,17.28519,7.4515169
2240,3.748085,10.43861,17.28575,7.449861188
2250,3.75069,10.43954,17.28632,7.448198617
2260,3.753306,10.44049,17.28689,7.446529187
2270,3.755931,10.44143,17.28746,7.444852899
2280,3.758566,10.44238,17.28803,7.443169752
2290,3.761211,10.44333,17.2886,7.441479746
2300,3.763865,10.44429,17.28918,7.439782882
2310,3.766529,10.44525,17.28976,7.438079159
2320,3.769203,10.44621,17.29034,7.436368577
2330,3.771886,10.44718,17.29093,7.434651136
2340,3.774579,10.44815,17.29152,7.432926837
2350,3.777282,10.44913,17.29211,7.431195679
2360,3.779994,10.45011,17.2927,7.429457663
2370,3.782716,10.4511,17.29329,7.427712787
2380,3.785447,10.45209,17.29389,7.425961053
2390,3.788188,10.45308,17.29449,7.42420246
2400,3.790938,10.45408,17.29509,7.422437009
2410,3.793698,10.45508,17.2957,7.420664698
2420,3.796467,10.45608,17.29631,7.418885529
2430,3.799246,10.45709,17.29692,7.417099502
2440,3.802034,10.45811,17.29753,7.415306615
2450,3.804832,10.45912,17.29815,7.41350687
2460,3.807638,10.46015,17.29876,7.411700266
2470,3.810455,10.46117,17.29938,7.409886804
2480,3.81328,10.4622,17.3,7.408066482
2490,3.816115,10.46323,17.30063,7.406239302
2500,3.818959,10.46426,17.30126,7.404405263
2510,3.821812,10.46531,17.30189,7.402564366
2520,3.824675,10.46635,17.30253,7.40071661
2530,3.827547,10.4674,17.30317,7.398861995
2540,3.830428,10.46846,17.30382,7.397000521
2550,3.833318,10.46952,17.30446,7.395132189
2560,3.836218,10.47058,17.3051,7.393256998
2570,3.839126,10.47164,17.30575,7.391374948
2580,3.842044,10.47271,17.30639,7.38948604
2590,3.844971,10.47379,17.30704,7.387590273
2600,3.847907,10.47487,17.30769,7.385687647
2610,3.850852,10.47595,17.30834,7.383778162
2620,3.853806,10.47703,17.309,7.381861819
2630,3.856769,10.47813,17.30966,7.379938617
2640,3.85974,10.47922,17.31032,7.378008556
2650,3.862721,10.48032,17.31099,7.376071636
2660,3.865711,10.48142,17.31165,7.374127858
2670,3.86871,10.48253,17.31232,7.372177221
2680,3.871718,10.48364,17.31299,7.370219726
2690,3.874735,10.48475,17.31367,7.368255371
2700,3.87776,10.48587,17.31434,7.366284158
2710,3.880795,10.487,17.31502,7.364306087
2720,3.883838,10.48812,17.3157,7.362321156
2730,3.88689,10.48926,17.31639,7.360329367
2740,3.889951,10.49039,17.31708,7.358330719
2750,3.893021,10.49153,17.31776,7.356325212
2760,3.896099,10.49268,17.31846,7.354312847
2770,3.899186,10.49382,17.31915,7.352293623
2780,3.902282,10.49497,17.31985,7.35026754
2790,3.905386,10.49612,17.32055,7.348234598
2800,3.908499,10.49728,17.32125,7.346194798
2810,3.911621,10.49844,17.32195,7.344148139
2820,3.914752,10.49961,17.32266,7.342094622
2830,3.917891,10.50078,17.32337,7.340034245
2840,3.921038,10.50196,17.32408,7.33796701
2850,3.924195,10.50314,17.32479,7.335892916
2860,3.927359,10.50432,17.32551,7.333811964
2870,3.930532,10.50551,17.32623,7.331724152
2880,3.933714,10.5067,17.32695,7.329629482
2890,3.936904,10.50789,17.32768,7.327527954
2900,3.940103,10.50909,17.3284,7.325419566
2910,3.94331,10.51029,17.32913,7.32330432
2920,3.946526,10.51149,17.32986,7.321182215
2930,3.94975,10.51271,17.3306,7.319053252
2940,3.952982,10.51392,17.33134,7.31691743
2950,3.956223,10.51514,17.33208,7.314774749
2960,3.959471,10.51637,17.33282,7.312625209
2970,3.962729,10.51759,17.33356,7.31046881
2980,3.965995,10.51882,17.33431,7.308305553
2990,3.969269,10.52006,17.33506,7.306135437
3000,3.972551,10.52129,17.33581,7.303958463
3010,3.975841,10.52254,17.33657,7.30177463
3020,3.97914,10.52378,17.33732,7.299583938
3030,3.982446,10.52504,17.33808,7.297386387
3040,3.985761,10.52629,17.33884,7.295181977
3050,3.989084,10.52755,17.33961,7.292970709
3060,3.992416,10.52881,17.34037,7.290752582
3070,3.995755,10.53008,17.34114,7.288527597
3080,3.999103,10.53135,17.34191,7.286295753
3090,4.002458,10.53262,17.34269,7.28405705
3100,4.005822,10.53391,17.34346,7.281811488
3110,4.009193,10.53519,17.34425,7.279559067
3120,4.012573,10.53648,17.34503,7.277299788
3130,4.01596,10.53777,17.34582,7.27503365
3140,4.019356,10.53906,17.34661,7.272760654
3150,4.022759,10.54036,17.3474,7.270480798
3160,4.026171,10.54166,17.34819,7.268194084
3170,4.029591,10.54297,17.34898,7.265900512
3180,4.033018,10.54428,17.34978,7.26360008
3190,4.036453,10.5456,17.35058,7.26129279
3200,4.039896,10.54692,17.35138,7.258978641
3210,4.043346,10.54824,17.35218,7.256657633
3220,4.046805,10.54957,17.35299,7.254329767
3230,4.050272,10.55089,17.35379,7.251995042
3240,4.053746,10.55222,17.3546,7.249653458
3250,4.057228,10.55356,17.35542,7.247305016
3260,4.060717,10.55491,17.35624,7.244949714
3270,4.064214,10.55626,17.35705,7.242587554
3280,4.06772,10.5576,17.35788,7.240218536
3290,4.071232,10.55896,17.3587,7.237842658
3300,4.074753,10.56031,17.35953,7.235459922
3310,4.078281,10.56167,17.36035,7.233070328
3320,4.081816,10.56304,17.36118,7.230673874
3330,4.08536,10.56441,17.36202,7.228270562
3340,4.08891,10.56579,17.36285,7.225860391
3350,4.092469,10.56716,17.36369,7.223443361
3360,4.096035,10.56854,17.36453,7.221019473
3370,4.099608,10.56993,17.36537,7.218588726
3380,4.103189,10.57132,17.36622,7.21615112
3390,4.106777,10.57271,17.36707,7.213706655
3400,4.110373,10.57411,17.36792,7.211255332
3410,4.113976,10.57551,17.36877,7.20879715
3420,4.117587,10.57691,17.36963,7.20633211
3430,4.121204,10.57832,17.37048,7.20386021
3440,4.124829,10.57974,17.37134,7.201381452
3450,4.128462,10.58115,17.37221,7.198895835
3460,4.132102,10.58257,17.37307,7.19640336
3470,4.13575,10.584,17.37394,7.193904025
3480,4.139405,10.58543,17.37481,7.191397832
3490,4.143066,10.58686,17.37568,7.188884781
3500,4.146736,10.58831,17.37656,7.18636487
3510,4.150413,10.58975,17.37744,7.183838101
3520,4.154096,10.59119,17.37832,7.181304473
3530,4.157787,10.59264,17.3792,7.178763987
3540,4.161485,10.59409,17.38008,7.176216642
3550,4.16519,10.59554,17.38097,7.173662438
3560,4.168902,10.597,17.38186,7.171101375
3570,4.172622,10.59846,17.38275,7.168533453
3580,4.176349,10.59993,17.38365,7.165958673
3590,4.180082,10.60141,17.38454,7.163377034
3600,4.183823,10.60288,17.38544,7.160788537
3610,4.187571,10.60436,17.38634,7.15819318
3620,4.191326,10.60584,17.38725,7.155590965
3630,4.195087,10.60733,17.38816,7.152981892
3640,4.198856,10.60882,17.38907,7.150365959
3650,4.202632,10.61032,17.38998,7.147743168
3660,4.206415,10.61182,17.3909,7.145113518
3670,4.210204,10.61332,17.39181,7.14247701
3680,4.214001,10.61483,17.39273,7.139833642
3690,4.217804,10.61634,17.39365,7.137183416
3700,4.221614,10.61785,17.39458,7.134526332
3710,4.225432,10.61937,17.39551,7.131862388
3720,4.229256,10.62089,17.39644,7.129191586
3730,4.233087,10.62242,17.39737,7.126513925
3740,4.236925,10.62395,17.3983,7.123829405
3750,4.240769,10.62548,17.39924,7.121138027
3760,4.24462,10.62702,17.40018,7.11843979
3770,4.248478,10.62856,17.40112,7.115734694
3780,4.252343,10.6301,17.40207,7.11302274
3790,4.256215,10.63165,17.40301,7.110303927
3800,4.260093,10.63321,17.40396,7.107578255
3810,4.263978,10.63476,17.40491,7.104845724
3820,4.267869,10.63632,17.40587,7.102106335
3830,4.271767,10.63789,17.40682,7.099360087
3840,4.275672,10.63946,17.40778,7.09660698
3850,4.279583,10.64104,17.40874,7.093847014
3860,4.283501,10.64262,17.40971,7.09108019
3870,4.287425,10.6442,17.41068,7.088306507
3880,4.291357,10.64578,17.41164,7.085525965
3890,4.295294,10.64737,17.41261,7.082738565
3900,4.299238,10.64896,17.41359,7.079944306
3910,4.303189,10.65055,17.41456,7.077143188
3920,4.307145,10.65215,17.41554,7.074335212
3930,4.311109,10.65375,17.41652,7.071520376
3940,4.315079,10.65536,17.41751,7.068698682
3950,4.319056,10.65697,17.4185,7.06587013
3960,4.323038,10.65858,17.41948,7.063034718
3970,4.327027,10.6602,17.42048,7.060192448
3980,4.331023,10.66183,17.42147,7.05734332
3990,4.335024,10.66346,17.42246,7.054487332
4000,4.339033,10.66509,17.42346,7.051624486
4010,4.343048,10.66672,17.42446,7.048754781
4020,4.347068,10.66836,17.42546,7.045878217
4030,4.351096,10.67,17.42647,7.042994795
4040,4.355129,10.67165,17.42748,7.040104514
4050,4.359169,10.67329,17.42849,7.037207374
4060,4.363214,10.67495,17.4295,7.034303375
4070,4.367267,10.6766,17.43052,7.031392518
4080,4.371325,10.67826,17.43154,7.028474802
4090,4.375389,10.67993,17.43255,7.025550227
4100,4.37946,10.6816,17.43358,7.022618794
4110,4.383536,10.68327,17.4346,7.019680502
4120,4.387619,10.68494,17.43563,7.016735351
4130,4.391708,10.68662,17.43665,7.013783341
4140,4.395803,10.68831,17.43768,7.010824473
4150,4.399905,10.69,17.43871,7.007858746
4160,4.404012,10.6917,17.43975,7.00488616
4170,4.408125,10.6934,17.44079,7.001906716
4180,4.412244,10.6951,17.44183,6.998920413
4190,4.416369,10.6968,17.44287,6.995927251
4200,4.420501,10.6985,17.44392,6.99292723
4210,4.424638,10.70021,17.44497,6.989920351
4220,4.428782,10.70192,17.44602,6.986906613
4230,4.43293,10.70364,17.44708,6.983886016
4240,4.437085,10.70536,17.44813,6.980858561
4250,4.441246,10.70709,17.44919,6.977824246
4260,4.445413,10.70882,17.45025,6.974783074
4270,4.449586,10.71055,17.45132,6.971735042
4280,4.453764,10.71229,17.45238,6.968680152
4290,4.457949,10.71402,17.45345,6.965618403
4300,4.462139,10.71577,17.45452,6.962549795
4310,4.466335,10.71752,17.4556,6.959474328
4320,4.470537,10.71927,17.45667,6.956392003
4330,4.474745,10.72102,17.45775,6.953302819
4340,4.478958,10.72278,17.45883,6.950206777
4350,4.483177,10.72455,17.45992,6.947103875
4360,4.487401,10.72631,17.461,6.943994115
4370,4.491633,10.72808,17.46209,6.940877496
4380,4.495869,10.72986,17.46318,6.937754019
4390,4.500111,10.73164,17.46427,6.934623683
4400,4.504358,10.73342,17.46536,6.931486488
4410,4.508612,10.73521,17.46646,6.928342434
4420,4.512871,10.737,17.46756,6.925191522
4430,4.517136,10.7388,17.46866,6.922033751
4440,4.521405,10.74059,17.46977,6.918869121
4450,4.525681,10.74239,17.47088,6.915697632
4460,4.529962,10.7442,17.47199,6.912519285
4470,4.534249,10.74601,17.4731,6.909334079
4480,4.538541,10.74782,17.47422,6.906142015
4490,4.54284,10.74963,17.47534,6.902943091
4500,4.547142,10.75145,17.47646,6.899737309
4510,4.551451,10.75328,17.47758,6.896524668
4520,4.555765,10.75511,17.4787,6.893305169
4530,4.560085,10.75693,17.47983,6.89007881
4540,4.56441,10.75877,17.48096,6.886845594
4550,4.568741,10.7606,17.48209,6.883605518
4560,4.573077,10.76244,17.48323,6.880358583
4570,4.577419,10.76429,17.48437,6.87710479
4580,4.581765,10.76614,17.48551,6.873844139
4590,4.586118,10.76799,17.48665,6.870576628
4600,4.590476,10.76985,17.48779,6.867302259
4610,4.594838,10.77171,17.48894,6.864021031
4620,4.599206,10.77357,17.49008,6.860732944
4630,4.60358,10.77544,17.49123,6.857437999
4640,4.607958,10.77731,17.49238,6.854136194
4650,4.612343,10.77919,17.49353,6.850827532
4660,4.616732,10.78107,17.49469,6.84751201
4670,4.621126,10.78296,17.49585,6.84418963
4680,4.625526,10.78485,17.49701,6.840860391
4690,4.629931,10.78674,17.49818,6.837524293
4700,4.634342,10.78863,17.49935,6.834181337
4710,4.638756,10.79053,17.50052,6.830831521
4720,4.643177,10.79243,17.50169,6.827474848
4730,4.647603,10.79433,17.50287,6.824111315
4740,4.652034,10.79623,17.50405,6.820740924
4750,4.65647,10.79814,17.50523,6.817363674
4760,4.660911,10.80006,17.50641,6.813979565
4770,4.665357,10.80198,17.5076,6.810588598
4780,4.669808,10.80391,17.50879,6.807190771
4790,4.674265,10.80583,17.50998,6.803786087
4800,4.678726,10.80777,17.51117,6.800374543
4810,4.683193,10.8097,17.51236,6.796956141
4820,4.687664,10.81164,17.51355,6.79353088
4830,4.692141,10.81358,17.51475,6.79009876
4840,4.696622,10.81553,17.51595,6.786659781
4850,4.701108,10.81747,17.51715,6.783213944
4860,4.7056,10.81943,17.51835,6.779761248
4870,4.710096,10.82138,17.51956,6.776301694
4880,4.714597,10.82334,17.52077,6.77283528
4890,4.719103,10.82531,17.52199,6.769362008
4900,4.723614,10.82728,17.5232,6.765881877
4910,4.728131,10.82926,17.52443,6.762394888
4920,4.732651,10.83123,17.52565,6.75890104
4930,4.737176,10.83321,17.52687,6.755400333
4940,4.741707,10.83519,17.5281,6.751892767
4950,4.746243,10.83717,17.52932,6.748378343
4960,4.750783,10.83916,17.53055,6.74485706
4970,4.755328,10.84115,17.53178,6.741328918
4980,4.759878,10.84315,17.53302,6.737793918
4990,4.764433,10.84516,17.53425,6.734252058
5000,4.768991,10.84717,17.53549,6.73070334
5010,4.773557,10.84917,17.53673,
5020,4.778125,10.85118,17.53798,
5030,4.782698,10.85319,17.53922,
5040,4.787277,10.85521,17.54047,
5050,4.79186,10.85723,17.54173,
5060,4.796448,10.85926,17.54298,
5070,4.80104,10.86129,17.54424,
5080,4.805638,10.86332,17.5455,
5090,4.810239,10.86536,17.54676,
5100,4.814846,10.86739,17.54802,
5110,4.819456,10.86944,17.54929,
5120,4.824072,10.87149,17.55055,
5130,4.828692,10.87354,17.55182,
5140,4.833318,10.8756,17.55309,
5150,4.837947,10.87767,17.55437,
5160,4.84258,10.87973,17.55565,
5170,4.847219,10.88179,17.55694,
5180,4.851862,10.88386,17.55822,
5190,4.856509,10.88593,17.55951,
5200,4.861162,10.88801,17.5608,
5210,4.865818,10.89009,17.56209,
5220,4.870478,10.89218,17.56338,
5230,4.875144,10.89427,17.56467,
5240,4.879814,10.89635,17.56596,
5250,4.884489,10.89844,17.56726,
5260,4.889167,10.90053,17.56856,
5270,4.893849,10.90263,17.56986,
5280,4.898537,10.90474,17.57117,
5290,4.903229,10.90685,17.57248,
5300,4.907926,10.90897,17.5738,
5310,4.912627,10.91109,17.57512,
5320,4.917332,10.9132,17.57644,
5330,4.922041,10.91532,17.57776,
5340,4.926755,10.91745,17.57908,
5350,4.931473,10.91958,17.5804,
5360,4.936195,10.92172,17.58173,
5370,4.940922,10.92386,17.58305,
5380,4.945652,10.926,17.58438,
5390,4.950388,10.92814,17.58571,
5400,4.955127,10.93029,17.58704,
5410,4.959871,10.93244,17.58838,
5420,4.964619,10.93459,17.58972,
5430,4.969371,10.93675,17.59106,
5440,4.974126,10.93891,17.59241,
5450,4.978887,10.94108,17.59376,
5460,4.983651,10.94326,17.59511,
5470,4.988421,10.94543,17.59646,
5480,4.993194,10.9476,17.59781,
5490,4.997971,10.94978,17.59916,
5500,5.002751,10.95196,17.60052,
5510,5.007536,10.95415,17.60188,
5520,5.012327,10.95634,17.60324,
5530,5.01712,10.95854,17.60461,
5540,5.021917,10.96074,17.60598,
5550,5.026719,10.96294,17.60735,
5560,5.031526,10.96515,17.60872,
5570,5.036334,10.96735,17.6101,
5580,5.041148,10.96956,17.61147,
5590,5.045967,10.97178,17.61285,
5600,5.050788,10.974,17.61423,
5610,5.055614,10.97622,17.61562,
5620,5.060443,10.97844,17.61701,
5630,5.065278,10.98067,17.6184,
5640,5.070116,10.9829,17.61979,
5650,5.074957,10.98514,17.62119,
5660,5.079804,10.98739,17.62259,
5670,5.084652,10.98963,17.62398,
5680,5.089507,10.99188,17.62538,
5690,5.094363,10.99413,17.62679,
5700,5.099226,10.99638,17.62819,
5710,5.10409,10.99864,17.6296,
5720,5.10896,11.0009,17.63101,
5730,5.113833,11.00316,17.63242,
5740,5.11871,11.00543,17.63384,
5750,5.123591,11.0077,17.63526,
5760,5.128474,11.00998,17.63667,
5770,5.133363,11.01225,17.6381,
5780,5.138256,11.01453,17.63952,
5790,5.143151,11.01682,17.64095,
5800,5.148051,11.01911,17.64238,
5810,5.152956,11.0214,17.64382,
5820,5.157862,11.02369,17.64525,
5830,5.162773,11.026,17.6467,
5840,5.167687,11.02831,17.64814,
5850,5.172607,11.03062,17.64958,
5860,5.177529,11.03293,17.65103,
5870,5.182455,11.03524,17.65247,
5880,5.187384,11.03756,17.65392,
5890,5.192317,11.03988,17.65536,
5900,5.197256,11.0422,17.65681,
5910,5.202196,11.04453,17.65826,
5920,5.207141,11.04686,17.65972,
5930,5.212088,11.04919,17.66117,
5940,5.21704,11.05153,17.66264,
5950,5.221995,11.05387,17.6641,
5960,5.226954,11.05621,17.66557,
5970,5.231916,11.05856,17.66704,
5980,5.236883,11.06091,17.66852,
5990,5.241852,11.06326,17.66999,
6000,5.246826,11.06562,17.67147,
6010,5.251802,11.06798,17.67295,
6020,5.256783,11.07035,17.67443,
6030,5.261767,11.07272,17.67591,
6040,5.266755,11.07509,17.67739,
6050,5.271746,11.07746,17.67888,
6060,5.276741,11.07984,17.68037,
